key,version,name,geoPt,address,tellNo,schoolKubun,collectZeroYear,collectOneYear,collectTwoYear,collectThreeYear,collectFourYear,collectFiveYear
,,徳育保育園分園,"35.783936,139.85912",東京都葛飾区水元1-26-8,03-5648-6366,2,0,0,0,0,0,2
,,さかえ保育園,"35.781265,139.86372",東京都葛飾区水元3-11-8,03-5648-6366,2,0,0,0,0,0,1
,,そあ保育園,"35.782475,139.86461",東京都葛飾区水元3-13-20,03-5648-6366,2,0,0,0,0,0,0
,,こばとの森保育園,"35.776196,139.86935",東京都葛飾区東水元1-16-2,03-5648-6366,2,0,0,0,0,0,7
,,新水元保育園,"35.784145,139.86603",東京都葛飾区東水元3-5-7,03-5648-6366,1,0,0,0,0,1,4
,,幸田保育園,"35.786076,139.85133",東京都葛飾区西水元2-16-10,03-5648-6366,1,0,0,2,0,0,0
,,小合保育園,"35.776875,139.86357",東京都葛飾区南水元3-3-11,03-5648-6366,1,1,1,0,0,0,1
,,花の木保育園,"35.77404,139.86575",東京都葛飾区南水元3-7-2,03-5648-6366,1,0,0,1,4,0,0
,,水元保育園,"35.780277,139.86575",東京都葛飾区南水元4-18-11,03-5648-6366,2,0,0,1,15,10,0
,,金町ひまわり保育園,"35.770393,139.86525",東京都葛飾区東金町1-3-1,03-5648-6366,2,1,0,0,0,1,0
,,亀が岡保育園,"35.77234,139.86664",東京都葛飾区東金町2-6-19,03-5648-6366,1,0,0,10,1,0,0
,,東かなまち保育園,"35.774994,139.86801",東京都葛飾区東金町2-13-10,03-5648-6366,2,1,0,2,0,1,0
,,金町保育園分園,"35.772034,139.87457",東京都葛飾区東金町3-23-14,03-5648-6366,2,0,0,0,0,0,1
,,金町保育園,"35.77371,139.87306",東京都葛飾区東金町3-36-15,03-5648-6366,2,1,1,0,4,2,1
,,半田保育園,"35.77621,139.87515",東京都葛飾区東金町4-34-12,03-5648-6366,1,0,0,1,2,1,0
,,東半田保育園,"35.777645,139.87752",東京都葛飾区東金町5-28-1,03-5648-6366,1,1,0,7,6,4,4
,,南新宿保育園,"35.760483,139.861",東京都葛飾区新宿1-23-4,03-5648-6366,1,3,1,4,1,0,5
,,山王保育園,"35.760242,139.85646",東京都葛飾区新宿2-2-19,03-5648-6366,1,0,0,2,2,2,0
,,新宿保育園,"35.76282,139.85977",東京都葛飾区新宿4-4-16,03-5648-6366,1,0,0,1,0,1,0
,,北野保育園,"35.757233,139.86911",東京都葛飾区柴又2-2-9,03-5648-6366,1,0,0,0,0,0,3
,,白鷺保育園,"35.758728,139.87498",東京都葛飾区柴又3-30-9,03-5648-6366,1,0,5,3,1,2,0
,,柴又学園,"35.753952,139.87416",東京都葛飾区柴又4-5-14,03-5648-6366,1,0,0,0,0,0,0
,,ひかり学園,"35.755653,139.87936",東京都葛飾区柴又6-19-1,03-5648-6366,1,1,2,0,0,0,4
,,きぼう保育園,"35.745934,139.86586",東京都葛飾区高砂2-3-7,03-5648-6366,1,0,3,3,1,7,1
,,新高砂保育園,"35.74537,139.87141",東京都葛飾区高砂4-1-49,03-5648-6366,1,0,0,4,2,7,1
,,たかさご保育園,"35.75257,139.86946",東京都葛飾区高砂5-48-4,03-5648-6366,1,0,2,0,0,0,0
,,東中川保育園,"35.753883,139.86168",東京都葛飾区高砂6-4-15,03-5648-6366,1,0,0,3,0,2,1
,,住吉保育園,"35.757015,139.86708",東京都葛飾区高砂7-26-3,03-5648-6366,1,0,0,0,2,1,1
,,認定こども園葛飾みどり,"35.741898,139.87906",東京都葛飾区鎌倉1-21-6,03-5648-6366,1,1,0,0,0,0,2
,,南鎌倉保育園,"35.744648,139.87616",東京都葛飾区鎌倉2-17-4,03-5648-6366,1,0,1,0,2,2,7
,,鎌倉保育園,"35.747856,139.87955",東京都葛飾区鎌倉3-39-15,03-5648-6366,1,0,0,0,0,2,2
,,ひまわり保育園,"35.745155,139.86647",東京都葛飾区細田3-9-26,03-5648-6366,1,2,3,2,5,3,22
,,細田保育園,"35.74288,139.87186",東京都葛飾区細田4-19-5,03-5648-6366,1,0,1,4,4,5,2
,,日の出保育園,"35.74056,139.87505",東京都葛飾区細田5-24-1,03-5648-6366,1,0,1,6,4,5,7
,,さくら学園保育所,"35.76233,139.84636",東京都葛飾区亀有1-27-2,03-5648-6366,1,0,0,0,1,2,1
,,亀青保育園,"35.75987,139.84904",東京都葛飾区亀有2-32-28,03-5648-6366,1,0,0,0,0,0,0
,,亀有りりおっこ保育園,"35.764046,139.84837",東京都葛飾区亀有3-16-5,03-5648-6366,1,0,0,1,0,0,0
,,亀有保育園,"35.7642,139.85071",東京都葛飾区亀有3-38-9,03-5648-6366,1,0,0,0,0,0,0
,,道上保育園,"35.762203,139.84322",東京都葛飾区亀有4-24-11,03-5648-6366,1,0,0,2,0,2,0
,,葛飾学園,"35.76138,139.83447",東京都葛飾区西亀有2-35-3,03-5648-6366,1,0,2,1,2,1,0
,,西亀有保育園,"35.760952,139.84058",東京都葛飾区西亀有3-31-9,03-5648-6366,1,0,0,1,2,1,0
,,砂原保育園,"35.76478,139.83911",東京都葛飾区西亀有4-8-19,03-5648-6366,1,0,0,0,0,0,0
,,小菅保育園,"35.75048,139.8262",東京都葛飾区小菅2-19-13,03-5648-6366,1,1,0,3,0,0,0
,,小菅東保育園,"35.75514,139.8248",東京都葛飾区小菅3-10-32,03-5648-6366,1,0,0,0,0,1,0
,,南白鳥保育園,"35.750893,139.84297",東京都葛飾区白鳥3-2-1,03-5648-6366,1,0,0,3,0,4,1
,,白鳥ふたば保育園,"35.75412,139.84457",東京都葛飾区白鳥3-29-16,03-5648-6366,1,0,0,1,0,3,0
,,白鳥保育園,"35.75555,139.8441",東京都葛飾区白鳥3-32-6,03-5648-6366,1,1,0,1,2,3,0
,,堀切保育園,"35.740112,139.82802",東京都葛飾区堀切1-9-18,03-5648-6366,1,0,1,4,4,7,0
,,南堀切保育園,"35.740078,139.82957",東京都葛飾区堀切1-23-3,03-5648-6366,1,0,0,2,1,2,0
,,黎明保育園,"35.745384,139.83318",東京都葛飾区堀切3-30-12,03-5648-6366,1,0,0,0,0,0,0
,,小谷野しょうぶ保育園,"35.74919,139.82603",東京都葛飾区堀切4-60-1,03-5648-6366,1,0,1,0,0,0,1
,,かつしか堀切保育園,"35.75436,139.83002",東京都葛飾区堀切7-8-3,03-5648-6366,1,0,0,0,0,1,1
,,双葉保育園,"35.749584,139.83473",東京都葛飾区東堀切1-16-25,03-5648-6366,1,0,0,0,0,0,0
,,東堀切保育園,"35.751507,139.83508",東京都葛飾区東堀切2-20-8,03-5648-6366,1,0,0,1,1,0,0
,,さゆり保育園,"35.741146,139.85703",東京都葛飾区青戸1-24-10,03-5648-6366,1,0,0,1,2,2,0
,,中青戸保育園,"35.74659,139.84816",東京都葛飾区青戸3-8-8,03-5648-6366,1,0,0,0,0,0,0
,,青戸福祉保育園,"35.74704,139.84993",東京都葛飾区青戸3-13-25,03-5648-6366,1,0,0,0,0,0,0
,,青戸もも保育園,"35.749096,139.85194",東京都葛飾区青戸4-23-1,03-5648-6366,1,2,0,0,3,0,1
,,太陽の子青戸中央保育園,"35.75034,139.85248",東京都葛飾区青戸4-24-20,03-5648-6366,1,1,1,2,1,7,1
,,青戸保育園,"35.75193,139.85336",東京都葛飾区青戸5-9-10,03-5648-6366,1,0,1,0,0,3,0
,,本田保育園,"35.736786,139.84311",東京都葛飾区立石1-4-10,03-5648-6366,1,0,0,0,1,0,0
,,梅田保育園,"35.74109,139.84537",東京都葛飾区立石3-26-10,03-5648-6366,1,0,0,0,2,0,1
,,立石駅前保育園,"35.738495,139.84813",東京都葛飾区立石4-23-17,03-5648-6366,1,1,0,0,0,0,0
,,かつしか風の子保育園,"35.741962,139.8537",東京都葛飾区立石8-18-7,03-5648-6366,1,2,1,2,10,19,0
,,東立石こひつじ保育園,"35.735947,139.84502",東京都葛飾区東立石3-14-12,03-5648-6366,1,0,0,3,0,0,0
,,東立石保育園,"35.736794,139.85088",東京都葛飾区東立石4-45-5,03-5648-6366,1,0,2,0,0,1,1
,,宝町,"35.74224,139.83765",東京都葛飾区宝保育園宝町,03-5648-6366,3,0,0,0,2,2,1
,,四つ木保育園,"35.7377,139.83057",東京都葛飾区四つ木3-5-6,03-5648-6366,1,0,0,4,3,6,0
,,四つ木なかよし保育園,"35.7421,139.8405",東京都葛飾区四つ木5-13-16,03-5648-6366,1,0,0,0,0,1,2
,,木根川保育園,"35.728706,139.8419",東京都葛飾区東四つ木1-18-12,03-5648-6366,1,0,0,0,1,1,0
,,渋江保育園,"35.730858,139.84367",東京都葛飾区東四つ木2-15-11,03-5648-6366,1,0,1,1,1,0,0
,,こひつじ保育園,"35.729305,139.83919",東京都葛飾区東四つ木3-6-12,03-5648-6366,1,0,0,0,0,0,0
,,南奥戸保育園,"35.7337,139.8599",東京都葛飾区奥戸2-30-11,03-5648-6366,1,1,0,8,6,2,0
,,奥戸保育園分園,"35.727978,139.86626",東京都葛飾区奥戸4-14-19,03-5648-6366,1,1,0,0,0,0,0
,,会野保育園,"35.730534,139.8651",東京都葛飾区奥戸5-23-7,03-5648-6366,1,0,0,1,5,1,1
,,奥戸保育園,"35.73013,139.86977",東京都葛飾区奥戸6-24-1,03-5648-6366,1,0,0,3,2,2,0
,,小松保育園,"35.715508,139.86253",東京都葛飾区新小岩2-14-9,03-5648-6366,1,0,2,6,5,8,0
,,新小岩保育園,"35.717205,139.86584",東京都葛飾区新小岩3-13-23,03-5648-6366,1,1,0,9,3,2,0
,,かみこまつ保育園,"35.725662,139.86107",東京都葛飾区東新小岩4-4-14,03-5648-6366,1,0,0,0,0,5,0
,,東新小岩保育園,"35.727833,139.86177",東京都葛飾区東新小岩4-7-13,03-5648-6366,1,0,1,4,2,0,0
,,二上保育園,"35.724213,139.85452",東京都葛飾区東新小岩7-17-3,03-5648-6366,1,1,0,0,1,0,0
,,たつみ保育園,"35.717373,139.85133",東京都葛飾区西新小岩2-1-3,03-5648-6366,1,0,2,0,0,7,0
,,西新小岩保育園,"35.721115,139.84859",東京都葛飾区西新小岩3-21-7,03-5648-6366,1,0,0,13,7,6,1
,,うらら保育園,"35.722748,139.84682",東京都葛飾区西新小岩3-37-27,03-5648-6366,1,0,0,0,0,0,0
,,上平井保育園,"35.71871,139.85323",東京都葛飾区西新小岩4-33-10,03-5648-6366,1,0,2,3,0,3,1
,,坂本保育園,"35.72512,139.78725",東京都台東区下谷3丁目11番2号,03-3873-4287,1,0,0,1,0,0,2
,,玉姫保育園,"35.727306,139.80399",東京都台東区清川2丁目22番16号,03-3872-5364,1,0,0,0,0,1,2
,,谷中保育園,"35.72255,139.77147",東京都台東区上野桜木2丁目16番10号,03-3828-3223,1,1,0,1,0,0,2
,,千束保育園,"35.722416,139.79272",東京都台東区千束3丁目20番6号,03-3874-1713,1,0,0,0,0,1,0
,,石浜橋場こども園,"35.725437,139.80762",東京都台東区橋場１－３５－１,03-3876-0049,1,0,0,0,0,0,0
,,浅草橋保育園,"35.700287,139.7847",東京都台東区浅草橋2丁目23番5号,03-3866-0321,1,0,0,0,0,0,0
,,台東保育園,"35.70121,139.77649",東京都台東区台東1丁目11番10号,03-3832-6743,1,0,0,0,0,0,0
,,三筋保育園,"35.70611,139.78691",東京都台東区三筋2丁目16番4号,03-3866-2413,1,0,0,0,0,0,0
,,待乳保育園,"35.72192,139.80754",東京都台東区今戸2丁目26番12号,03-3873-4150,1,0,0,0,0,2,0
,,東上野保育園,"35.70956,139.78143",東京都台東区東上野2丁目25番12号,03-3833-9810,1,1,0,0,0,0,0
,,松が谷保育園,"35.71862,139.78629",東京都台東区松が谷4丁目15番11号,03-3841-6772,1,0,0,0,0,0,0
,,東上野乳児保育園,"35.714325,139.78148",東京都台東区東上野4丁目22番3号,03-3844-3577,1,0,0,0,0,0,0
,,ことぶきこども園,"35.70714,139.78923",東京都台東区寿１丁目１０番９号,03-3841-4719,1,0,0,1,0,0,0
,,たいとうこども園,"35.723076,139.78574",東京都台東区下谷3丁目1番12号,03-5246-1414,1,0,0,0,0,0,0
,,愛隣保育園,"35.72768,139.78812",東京都台東区根岸5丁目15番3号,03-3872-4547,2,0,0,0,0,1,0
,,康保会保育園,"35.725075,139.79785",東京都台東区日本堤1丁目6番2号,03-3875-0514,2,0,0,0,0,0,0
,,清川保育園,"35.724983,139.80275",東京都台東区清川1丁目15番11号,03-3872-0116,2,0,0,0,0,1,0
,,共生保育園,"35.723858,139.80544",東京都台東区橋場1丁目10番11号,03-3873-1369,2,0,0,0,0,6,0
,,立華学苑,"35.72477,139.76634",東京都台東区谷中5丁目4番19号,03-3828-9255,2,0,0,0,0,0,0
,,康保会乳児保育所,"35.72708,139.79756",東京都台東区日本堤2丁目7番1号,03-3875-0058,2,1,0,1,0,0,0
,,花川戸保育園,"35.71471,139.80035",東京都台東区花川戸2丁目11番13号,03-3844-8366,2,0,0,0,0,0,0
,,上野保育園,"35.714664,139.78375",東京都台東区東上野6丁目20番7号,03-3841-7545,2,0,0,0,0,0,0
,,ゆらりん竹町保育園,"35.70607,139.77951",東京都台東区台東4丁目16番18号,03-5812-4028,2,1,0,0,0,0,0
,,アスクくらまえ保育園,"35.7037,139.78839",東京都台東区蔵前4丁目16番10号,03-5822-5205,2,0,0,0,0,2,0
,,柳北保育室,"35.699577,139.78246",東京都台東区浅草橋5丁目1番35号,03-3863-8505,2,0,0,0,0,0,0
,,桜川保育園,"35.67375,139.77821",東京都中央区入船1-1-13,03-3553-0020,2,0,0,0,0,0,0
,,明石町保育園,"35.666508,139.77704",東京都中央区明石町12-1,03-3542-0020,1,0,0,0,0,1,0
,,築地保育園,"35.666378,139.76816",東京都中央区築地4-15-1,03-3543-3156,2,0,0,0,0,0,0
,,八丁堀保育園,"35.674015,139.77588",東京都中央区八丁堀4-5-10,03-3537-6551,1,0,0,0,0,0,0
,,十思保育園,"35.691128,139.77884",東京都中央区日本橋小伝馬町5-1十思スクエア3階,03-5651-3915,1,0,0,0,0,0,0
,,堀留町保育園,"35.687412,139.77896",東京都中央区日本橋堀留町1-1-1-2階,03-5641-0125,1,0,0,0,2,0,0
,,人形町保育園,"35.684605,139.78485",東京都中央区日本橋人形町2-14-5,03-3669-3450,1,0,0,0,0,0,0
,,日本橋保育園,"35.68076,139.78352",東京都中央区日本橋蛎殻町1-1-2,03-3666-9584,1,0,0,0,0,1,0
,,浜町保育園,"35.68547,139.79128",東京都中央区日本橋浜町3-37-1,03-3668-2353,1,0,0,0,0,0,0
,,つくだ保育園,"35.66684,139.78694",東京都中央区佃2-2-2,03-3531-3595,1,0,0,0,0,2,0
,,月島保育園,"35.663208,139.78395",東京都中央区月島2-10-3,03-3531-6933,1,0,0,0,0,0,0
,,かちどき西保育園,"35.6573,139.77505",東京都中央区勝どき1-8-1勝どきビュータワー3階,03-3534-7681,2,0,0,0,0,0,0
,,勝どき保育園,"35.66037,139.7772",東京都中央区勝どき1-4-1,03-3531-5901,1,0,0,0,0,0,0
,,晴海保育園,"35.65955,139.78455",東京都中央区晴海1-5-15,03-3533-1463,1,0,0,0,0,2,0
,,京橋こども園,"35.676216,139.7733",東京都中央区京橋2-17-7,03-3546-9587,1,0,0,0,0,5,0
,,江東橋保育園,"35.69589,139.8075",墨田区緑四丁目35番9号,03-3631-2411,1,0,0,0,0,0,0
,,江東橋保育園（分園）,"35.69714,139.8045",墨田区亀沢三丁目12番5号　シテイハイム1階,03-3623-0152,1,0,0,0,0,0,0
,,横川橋保育園,"35.70219,139.8109",墨田区太平一丁目27番13号,03-3622-3323,1,0,0,0,0,0,3
,,中川保育園,"35.718704,139.83058",墨田区東墨田二丁目1番15号,03－3612ー2968,1,0,0,0,0,0,0
,,花園保育園,"35.724686,139.81464",墨田区東向島三丁目16番2号,03-3614-5430,1,0,0,0,0,0,0
,,福神橋保育園,"35.708164,139.82228",墨田区文花一丁目30番21号－101号室,03－3611－7721,1,0,0,0,0,0,0
,,文花保育園,"35.709526,139.8232",墨田区文花一丁目24番5号,03－3611－6068,1,0,0,0,0,0,0
,,たちばな保育園,"35.707092,139.83434",墨田区立花三丁目21番16号,03-3617-7950,1,0,0,0,0,0,0
,,すみだ保育園,"35.732037,139.82307",墨田区墨田四丁目22番4号101号室,03－3619－5844,1,0,0,0,0,1,3
,,八広保育園,"35.720917,139.82639",墨田区八広三丁目7番5号,03-3617-2323,1,0,0,0,0,0,0
,,東駒形保育園,"35.705284,139.798",墨田区東駒形一丁目6番8号,03-3625-8672,1,0,0,0,0,0,0
,,亀沢保育園,"35.698555,139.79942",墨田区亀沢一丁目27番5号,03-3624-7781,1,0,0,0,0,1,2
,,東あずま保育園,"35.704994,139.82895",墨田区立花一丁目27番6号棟101号室,03-3613-2868,1,0,0,0,0,1,0
,,おむらい保育園,"35.7077,139.82439",墨田区文花一丁目32番1号-103号室,03-3613-5391,1,0,0,0,0,0,0
,,江東橋保育園,"35.69589,139.8075",墨田区緑四丁目35番9号,03-3631-2411,1,0,0,0,0,0,0
,,江東橋保育園（分園）,"35.69714,139.8045",墨田区亀沢三丁目12番5号　シテイハイム1階,03-3623-0152,1,0,0,0,0,0,0
,,横川橋保育園,"35.70219,139.8109",墨田区太平一丁目27番13号,03-3622-3323,1,0,0,0,0,0,3
,,中川保育園,"35.718704,139.83058",墨田区東墨田二丁目1番15号,03－3612ー2968,1,0,0,0,0,0,0
,,花園保育園,"35.724686,139.81464",墨田区東向島三丁目16番2号,03-3614-5430,1,0,0,0,0,0,0
,,福神橋保育園,"35.708164,139.82228",墨田区文花一丁目30番21号－101号室,03－3611－7721,1,0,0,0,0,0,0
,,文花保育園,"35.709526,139.8232",墨田区文花一丁目24番5号,03－3611－6068,1,0,0,0,0,0,0
,,たちばな保育園,"35.707092,139.83434",墨田区立花三丁目21番16号,03-3617-7950,1,0,0,0,0,0,0
,,すみだ保育園,"35.732037,139.82307",墨田区墨田四丁目22番4号101号室,03－3619－5844,1,0,0,0,0,1,3
,,八広保育園,"35.720917,139.82639",墨田区八広三丁目7番5号,03-3617-2323,1,0,0,0,0,0,0
,,東駒形保育園,"35.705284,139.798",墨田区東駒形一丁目6番8号,03-3625-8672,1,0,0,0,0,0,0
,,亀沢保育園,"35.698555,139.79942",墨田区亀沢一丁目27番5号,03-3624-7781,1,0,0,0,0,1,2
,,東あずま保育園,"35.704994,139.82895",墨田区立花一丁目27番6号棟101号室,03-3613-2868,1,0,0,0,0,1,0
,,おむらい保育園,"35.7077,139.82439",墨田区文花一丁目32番1号-103号室,03-3613-5391,1,0,0,0,0,0,0
,,江東橋保育園,"35.69589,139.8075",墨田区緑四丁目35番9号,03-3631-2411,1,0,0,0,0,0,0
,,江東橋保育園（分園）,"35.69714,139.8045",墨田区亀沢三丁目12番5号　シテイハイム1階,03-3623-0152,1,0,0,0,0,0,0
,,横川橋保育園,"35.70219,139.8109",墨田区太平一丁目27番13号,03-3622-3323,1,0,0,0,0,0,3
,,中川保育園,"35.718704,139.83058",墨田区東墨田二丁目1番15号,03－3612ー2968,1,0,0,0,0,0,0
,,花園保育園,"35.724686,139.81464",墨田区東向島三丁目16番2号,03-3614-5430,1,0,0,0,0,0,0
,,福神橋保育園,"35.708164,139.82228",墨田区文花一丁目30番21号－101号室,03－3611－7721,1,0,0,0,0,0,0
,,文花保育園,"35.709526,139.8232",墨田区文花一丁目24番5号,03－3611－6068,1,0,0,0,0,0,0
,,たちばな保育園,"35.707092,139.83434",墨田区立花三丁目21番16号,03-3617-7950,1,0,0,0,0,0,0
,,すみだ保育園,"35.732037,139.82307",墨田区墨田四丁目22番4号101号室,03－3619－5844,1,0,0,0,0,1,3
,,八広保育園,"35.720917,139.82639",墨田区八広三丁目7番5号,03-3617-2323,1,0,0,0,0,0,0
,,東駒形保育園,"35.705284,139.798",墨田区東駒形一丁目6番8号,03-3625-8672,1,0,0,0,0,0,0
,,亀沢保育園,"35.698555,139.79942",墨田区亀沢一丁目27番5号,03-3624-7781,1,0,0,0,0,1,2
,,東あずま保育園,"35.704994,139.82895",墨田区立花一丁目27番6号棟101号室,03-3613-2868,1,0,0,0,0,1,0
,,おむらい保育園,"35.7077,139.82439",墨田区文花一丁目32番1号-103号室,03-3613-5391,1,0,0,0,0,0,0
,,太平保育園,"35.700096,139.81038",墨田区太平一丁目13番10号,03-3626-0776,1,0,0,0,0,0,1
,,鐘ケ淵北保育園,"35.73624,139.81708",墨田区堤通二丁目8番15号-109号室,03-3619-8531,1,0,0,0,0,4,6
,,梅若保育園,"35.73095,139.8176",墨田区墨田二丁目38番13号,03-3611-6571,1,0,0,0,0,0,1
,,立川保育園,"35.69051,139.79948",墨田区立川一丁目5番2号,03-3633-6960,1,0,0,0,0,0,1
,,中川南保育園,"35.710472,139.83572",墨田区立花六丁目8番2号-106号室,03-3616-4141,1,5,0,0,0,0,1
,,長浦保育園,"35.72482,139.82576",墨田区八広五丁目10番1号ー105号室,03－3616－7227,1,0,0,0,0,0,1
,,寺島保育園,"35.72017,139.81256",墨田区東向島一丁目23番10号,03-3614-0311,1,0,0,0,0,0,0
,,水神保育園,"35.7334,139.81587",墨田区堤通二丁目6番9号-103号室,03-3616-1970,1,0,0,0,0,0,1
,,しらひげ保育園,"35.730946,139.8139",墨田区堤通二丁目5番5号-101号室,03-3611-1580,1,0,0,0,0,0,0
,,あおやぎ保育園,"35.725826,139.81918",墨田区東向島四丁目37番17号,03－3614－6789,1,0,0,0,0,0,1
,,横川さくら保育園,"35.705143,139.81746",墨田区横川五丁目9番1号,03-5608-4525,1,0,0,0,0,0,0
,,横川さくら保育園立花分園,"35.70637,139.83142",墨田区立花一丁目23番5号　サンタウン立花206室,03-3612-5525,1,0,0,0,0,0,0
,,ひきふね保育園,"35.720055,139.82133",墨田区八広一丁目1番18号,03ー3610ー0263,1,0,0,0,0,0,0
,,押上保育園,"35.711365,139.81175",墨田区押上二丁目10番17号,03-3623-6030,1,0,0,0,0,0,0
,,きんし保育園,"35.69663,139.81882",墨田区江東橋四丁目30番2号301号室,03ー3635ー1001,1,0,0,0,0,0,2
,,墨田みどり保育園,"35.696407,139.80344",東京都墨田区亀沢3-7-11,03-3624-4508,2,0,0,0,0,0,0
,,光の園保育学校,"35.70604,139.80533",東京都墨田区東駒形4-6-2,03-3622-8867,2,0,0,0,0,0,0
,,厚生館保育園,"35.712067,139.83064",東京都墨田区立花5-21-3,03-3613-1931,2,0,0,0,0,0,0
,,菊川保育園,"35.68902,139.81085",東京都墨田区江東橋5-3-3,03-3633-1888,2,0,0,0,0,0,0
,,木ノ下保育園,"35.73047,139.8261",東京都墨田区墨田４-６０-１３,03(3612)5458,2,0,0,0,0,0,0
,,杉の子学園保育所,"35.718037,139.81552",東京都墨田区東向島２-１８-８,０３-３６１９-４１５３,2,0,0,0,0,0,0
,,ナースリー保育園,"35.72199,139.8213",東京都墨田区東向島6-15-5,03-3613-3470,2,0,0,0,0,0,0
,,育正保育園,"35.706955,139.79793",東京都墨田区東駒形1-3-15,03-5819-4533,2,0,0,0,0,0,0
,,わらべみどり保育園,"35.69458,139.80444",東京都墨田区緑3丁目12-2,03-5638-1551,2,0,0,0,0,0,0
,,本所たから保育園,"35.70645,139.8014",東京都墨田区東駒形4-4-7,03-5610-3737,2,0,0,0,0,0,0
,,すみだ中和こころ保育園,"35.690056,139.80222",東京都墨田区菊川1丁目18番5号,03-6666-9449,2,0,0,0,0,0,0
